ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N20,Saphan Mai,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N19,Sai Yud,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N18,Phahon Yothin 59,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N17,Wat Phra Sri Mahathat,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N16,11th Infantry Regiment,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N15,Bang Bua,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N14,Royal Forest Department,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N13,Kasetsart University,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N12,Sena Nikhom,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N11,Ratchayothin,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N10,Phahon Yothin 24,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N9,Ha Yaek Lat Phrao,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N8,Mo Chit,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N7,Saphan Khwai,17,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N6,Sena Ruam*,25,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N5,Ari,28,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N4,Sanam Pao,32,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N3,Victory Monument,35,,
